Track Name,Album Name,Duration (ms),Explicit,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),Red (Taylor's Version),258812,FALSE,0.606,0.377,0.817,0,0.154,-9.455,0.0275,101.96,0.446
Change - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,258487,FALSE,0.243,0.712,0.156,0,0.111,-4.307,0.0577,202.319,0.273
marjorie,evermore (deluxe version),257773,FALSE,0.535,0.561,0.876,0.000136,0.115,-11.609,0.0484,96.103,0.287
invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],257359,FALSE,0.59,0.282,0.942,0.00000485,0.11,-10.542,0.0281,83.438,0.351
Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),256124,TRUE,0.663,0.321,0.701,0.000598,0.107,-13.527,0.0409,110.021,0.153
my tears ricochet,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],255893,FALSE,0.456,0.265,0.814,0,0.0679,-10.663,0.0328,129.947,0.112
Hey Stephen,Fearless (International Version),254680,FALSE,0.843,0.543,0.174,0.00000387,0.0968,-7.364,0.0317,116,0.826
it's time to go - bonus track,evermore (deluxe version),254640,FALSE,0.592,0.41,0.801,0.0000139,0.09,-12.426,0.0397,151.923,0.416
Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,254365,FALSE,0.626,0.428,0.607,0,0.0921,-8.374,0.0261,94.95,0.487
Hey Stephen (Taylor's Version),Fearless (Taylor's Version),254254,FALSE,0.788,0.571,0.106,0,0.0934,-6.135,0.0296,115.99,0.797
Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,Christmas Tree Farm,253866,FALSE,0.482,0.731,0.426,0,0.9,-5.448,0.0365,66.997,0.495
Cruel Summer - LP Giobbi Remix - Extended Version,The Cruelest Summer,253544,FALSE,0.795,0.749,0.0656,0.017,0.0726,-9.649,0.0516,123.006,0.475
invisible string,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],252880,FALSE,0.651,0.459,0.859,0.0000663,0.105,-11.128,0.0507,83.455,0.454
When Emma Falls in Love (Taylor's Version) (From The Vault),Speak Now (Taylor's Version),252385,FALSE,0.524,0.759,0.168,0,0.104,-4.714,0.0471,77.879,0.234
Tied Together with a Smile,reputation Stadium Tour Surprise Song Playlist,251213,FALSE,0.478,0.547,0.523,0,0.0728,-4.948,0.0275,146.134,0.238
This Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],250100,FALSE,0.47,0.494,0.302,0,0.0672,-8.672,0.0349,144.039,0.0524
This Love,reputation Stadium Tour Surprise Song Playlist,250093,FALSE,0.48,0.435,0.679,0,0.0928,-8.795,0.0319,143.942,0.108
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,249807,FALSE,0.421,0.525,0.825,0.00000267,0.308,-10.359,0.0472,167.927,0.535
Everything Has Changed - Remix,Everything Has Changed (Remix),249760,FALSE,0.683,0.627,0.265,0.00000486,0.21,-5.473,0.0345,80.029,0.651
Speak Now - Live/2011,Speak Now World Tour Live,248146,FALSE,0.615,0.694,0.0636,0.00000128,0.83,-5.251,0.0318,118.876,0.373
Labyrinth,Midnights (The Til Dawn Edition),247962,FALSE,0.48,0.295,0.797,0.333,0.12,-15.512,0.0384,110.018,0.132
How You Get The Girl,reputation Stadium Tour Surprise Song Playlist,247533,FALSE,0.764,0.657,0.00363,0.00899,0.0918,-6.112,0.0503,119.995,0.546
I Don't Wanna Live Forever (Fifty Shades Darker),reputation Stadium Tour Surprise Song Playlist,247160,FALSE,0.73,0.444,0.059,0.000018,0.14,-8.418,0.0538,117.979,0.106
Mean - Live/2011,Speak Now World Tour Live,246373,FALSE,0.429,0.915,0.154,0,0.693,-4.373,0.069,163.752,0.432
Ours - Live/2011,Speak Now World Tour Live,245973,FALSE,0.421,0.355,0.715,0,0.867,-10.21,0.0298,77.769,0.267
Should've Said No - International Mix,Fearless (International Version),245826,FALSE,0.398,0.761,0.00505,0.000437,0.234,-4.382,0.0377,168.092,0.454
Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],245566,FALSE,0.387,0.703,0.0105,0.000011,0.128,-5.956,0.0545,123.18,0.32
Wonderland,reputation Stadium Tour Surprise Song Playlist,245560,FALSE,0.422,0.692,0.0493,0.0000257,0.177,-5.447,0.0549,184.019,0.197
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,245541,TRUE,0.426,0.41,0.52,0,0.338,-9.083,0.0581,142.377,0.263
tolerate it,evermore (deluxe version),245440,TRUE,0.316,0.361,0.878,0.0000267,0.0797,-10.381,0.0488,74.952,0.221
Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),Red (Taylor's Version),245426,FALSE,0.498,0.61,0.271,0,0.223,-5.098,0.0363,79.918,0.474
